"","County","Month","Year","Clamaints"
"1","ALAMEDA","Jan",2007,13034
"2","ALPINE","Jan",2007,12
"3","AMADOR","Jan",2007,487
"4","BUTTE","Jan",2007,3496
"5","CALAVERAS","Jan",2007,644
"6","COLUSA","Jan",2007,1244
"7","CONTRA COSTA","Jan",2007,8475
"8","DEL NORTE","Jan",2007,328
"9","EL DORADO","Jan",2007,2120
"10","FRESNO","Jan",2007,19974
"11","GLENN","Jan",2007,690
"12","HUMBOLDT","Jan",2007,1836
"13","IMPERIAL","Jan",2007,5761
"14","INYO","Jan",2007,224
"15","KERN","Jan",2007,14713
"16","KINGS","Jan",2007,3009
"17","LAKE","Jan",2007,1161
"18","LASSEN","Jan",2007,649
"19","LOS ANGELES","Jan",2007,75788
"20","MADERA","Jan",2007,2521
"21","MARIN","Jan",2007,1360
"22","MARIPOSA","Jan",2007,350
"23","MENDOCINO","Jan",2007,1403
"24","MERCED","Jan",2007,6520
"25","MODOC","Jan",2007,239
"26","MONO","Jan",2007,155
"27","MONTEREY","Jan",2007,13528
"28","NAPA","Jan",2007,1316
"29","NEVADA","Jan",2007,1074
"30","ORANGE","Jan",2007,18375
"31","PLACER","Jan",2007,3274
"32","PLUMAS","Jan",2007,733
"33","RIVERSIDE","Jan",2007,19909
"34","SACRAMENTO","Jan",2007,16288
"35","SAN BENITO","Jan",2007,1089
"36","SAN BERNARDINO","Jan",2007,16986
"37","SAN DIEGO","Jan",2007,25013
"38","SAN FRANCISCO","Jan",2007,7566
"39","SAN JOAQUIN","Jan",2007,12053
"40","SAN LUIS OBISPO","Jan",2007,1909
"41","SAN MATEO","Jan",2007,4339
"42","SANTA BARBARA","Jan",2007,4027
"43","SANTA CLARA","Jan",2007,14556
"44","SANTA CRUZ","Jan",2007,6238
"45","SHASTA","Jan",2007,3758
"46","SIERRA","Jan",2007,97
"47","SISKIYOU","Jan",2007,1204
"48","SOLANO","Jan",2007,4562
"49","SONOMA","Jan",2007,4567
"50","STANISLAUS","Jan",2007,10450
"51","SUTTER","Jan",2007,2346
"52","TEHAMA","Jan",2007,941
"53","TRINITY","Jan",2007,381
"54","TULARE","Jan",2007,10878
"55","TUOLUMNE","Jan",2007,871
"56","VENTURA","Jan",2007,8139
"57","YOLO","Jan",2007,3027
"58","YUBA","Jan",2007,1526
"59","ALAMEDA","Feb",2007,13218
"60","ALPINE","Feb",2007,9
"61","AMADOR","Feb",2007,489
"62","BUTTE","Feb",2007,3584
"63","CALAVERAS","Feb",2007,691
"64","COLUSA","Feb",2007,1238
"65","CONTRA COSTA","Feb",2007,8819
"66","DEL NORTE","Feb",2007,369
"67","EL DORADO","Feb",2007,2175
"68","FRESNO","Feb",2007,22245
"69","GLENN","Feb",2007,812
"70","HUMBOLDT","Feb",2007,1848
"71","IMPERIAL","Feb",2007,5282
"72","INYO","Feb",2007,212
"73","KERN","Feb",2007,16136
"74","KINGS","Feb",2007,3359
"75","LAKE","Feb",2007,1128
"76","LASSEN","Feb",2007,693
"77","LOS ANGELES","Feb",2007,74369
"78","MADERA","Feb",2007,2759
"79","MARIN","Feb",2007,1339
"80","MARIPOSA","Feb",2007,393
"81","MENDOCINO","Feb",2007,1480
"82","MERCED","Feb",2007,7152
"83","MODOC","Feb",2007,234
"84","MONO","Feb",2007,170
"85","MONTEREY","Feb",2007,13726
"86","NAPA","Feb",2007,1242
"87","NEVADA","Feb",2007,1123
"88","ORANGE","Feb",2007,18336
"89","PLACER","Feb",2007,3499
"90","PLUMAS","Feb",2007,784
"91","RIVERSIDE","Feb",2007,20866
"92","SACRAMENTO","Feb",2007,16788
"93","SAN BENITO","Feb",2007,1180
"94","SAN BERNARDINO","Feb",2007,17179
"95","SAN DIEGO","Feb",2007,25134
"96","SAN FRANCISCO","Feb",2007,7166
"97","SAN JOAQUIN","Feb",2007,12651
"98","SAN LUIS OBISPO","Feb",2007,1934
"99","SAN MATEO","Feb",2007,4300
"100","SANTA BARBARA","Feb",2007,4181
"101","SANTA CLARA","Feb",2007,14784
"102","SANTA CRUZ","Feb",2007,6546
"103","SHASTA","Feb",2007,3890
"104","SIERRA","Feb",2007,108
"105","SISKIYOU","Feb",2007,1223
"106","SOLANO","Feb",2007,4636
"107","SONOMA","Feb",2007,4686
"108","STANISLAUS","Feb",2007,11439
"109","SUTTER","Feb",2007,2711
"110","TEHAMA","Feb",2007,1133
"111","TRINITY","Feb",2007,378
"112","TULARE","Feb",2007,12936
"113","TUOLUMNE","Feb",2007,907
"114","VENTURA","Feb",2007,7816
"115","YOLO","Feb",2007,3155
"116","YUBA","Feb",2007,1556
"117","ALAMEDA","Mar",2007,12627
"118","ALPINE","Mar",2007,10
"119","AMADOR","Mar",2007,458
"120","BUTTE","Mar",2007,3422
"121","CALAVERAS","Mar",2007,635
"122","COLUSA","Mar",2007,979
"123","CONTRA COSTA","Mar",2007,8323
"124","DEL NORTE","Mar",2007,335
"125","EL DORADO","Mar",2007,2067
"126","FRESNO","Mar",2007,19106
"127","GLENN","Mar",2007,709
"128","HUMBOLDT","Mar",2007,1801
"129","IMPERIAL","Mar",2007,4736
"130","INYO","Mar",2007,199
"131","KERN","Mar",2007,15016
"132","KINGS","Mar",2007,2741
"133","LAKE","Mar",2007,1035
"134","LASSEN","Mar",2007,659
"135","LOS ANGELES","Mar",2007,70688
"136","MADERA","Mar",2007,2653
"137","MARIN","Mar",2007,1327
"138","MARIPOSA","Mar",2007,346
"139","MENDOCINO","Mar",2007,1366
"140","MERCED","Mar",2007,6220
"141","MODOC","Mar",2007,192
"142","MONO","Mar",2007,161
"143","MONTEREY","Mar",2007,10892
"144","NAPA","Mar",2007,1082
"145","NEVADA","Mar",2007,1053
"146","ORANGE","Mar",2007,17832
"147","PLACER","Mar",2007,3326
"148","PLUMAS","Mar",2007,763
"149","RIVERSIDE","Mar",2007,19213
"150","SACRAMENTO","Mar",2007,15390
"151","SAN BENITO","Mar",2007,1071
"152","SAN BERNARDINO","Mar",2007,16706
"153","SAN DIEGO","Mar",2007,23949
"154","SAN FRANCISCO","Mar",2007,7207
"155","SAN JOAQUIN","Mar",2007,11325
"156","SAN LUIS OBISPO","Mar",2007,1778
"157","SAN MATEO","Mar",2007,4203
"158","SANTA BARBARA","Mar",2007,3693
"159","SANTA CLARA","Mar",2007,14000
"160","SANTA CRUZ","Mar",2007,5578
"161","SHASTA","Mar",2007,3806
"162","SIERRA","Mar",2007,113
"163","SISKIYOU","Mar",2007,1119
"164","SOLANO","Mar",2007,4311
"165","SONOMA","Mar",2007,4331
"166","STANISLAUS","Mar",2007,10378
"167","SUTTER","Mar",2007,2475
"168","TEHAMA","Mar",2007,994
"169","TRINITY","Mar",2007,352
"170","TULARE","Mar",2007,10965
"171","TUOLUMNE","Mar",2007,843
"172","VENTURA","Mar",2007,6817
"173","YOLO","Mar",2007,2666
"174","YUBA","Mar",2007,1413
"175","ALAMEDA","Apr",2007,13136
"176","ALPINE","Apr",2007,11
"177","AMADOR","Apr",2007,440
"178","BUTTE","Apr",2007,3228
"179","CALAVERAS","Apr",2007,599
"180","COLUSA","Apr",2007,616
"181","CONTRA COSTA","Apr",2007,8686
"182","DEL NORTE","Apr",2007,388
"183","EL DORADO","Apr",2007,1948
"184","FRESNO","Apr",2007,19353
"185","GLENN","Apr",2007,586
"186","HUMBOLDT","Apr",2007,1766
"187","IMPERIAL","Apr",2007,7898
"188","INYO","Apr",2007,188
