"","County","Year","Month","laborforce","emplab","unemp","unemprate"
"1","Alameda",2007,"Jan",743100,708300,34800,4.7
"2","Alameda",2007,"Feb",744800,711000,33800,4.5
"3","Alameda",2007,"Mar",746600,713200,33300,4.5
"4","Alameda",2007,"Apr",738200,705800,32400,4.4
"5","Alameda",2007,"May",739100,707300,31800,4.3
"6","Alameda",2007,"Jun",744900,709100,35800,4.8
"7","Alameda",2007,"Jul",749600,710900,38700,5.2
"8","Alameda",2007,"Aug",746700,709600,37000,5
"9","Alameda",2007,"Sep",748200,712100,36000,4.8
"10","Alameda",2007,"Oct",749000,713000,36100,4.8
"11","Alameda",2007,"Nov",753200,717300,35900,4.8
"12","Alameda",2007,"Dec",752500,716600,35800,4.8
"13","Alameda",2008,"Jan",751500,712800,38700,5.1
"14","Alameda",2008,"Feb",749800,712300,37400,5
"15","Alameda",2008,"Mar",752200,712000,40200,5.3
"16","Alameda",2008,"Apr",750300,712700,37600,5
"17","Alameda",2008,"May",751200,709300,41800,5.6
"18","Alameda",2008,"Jun",757600,711600,46000,6.1
"19","Alameda",2008,"Jul",765800,715800,50000,6.5
"20","Alameda",2008,"Aug",764000,712200,51700,6.8
"21","Alameda",2008,"Sep",759300,709000,50300,6.6
"22","Alameda",2008,"Oct",763400,710700,52700,6.9
"23","Alameda",2008,"Nov",762200,707100,55100,7.2
"24","Alameda",2008,"Dec",763500,704900,58700,7.7
"25","Alameda",2009,"Jan",762500,694500,68100,8.9
"26","Alameda",2009,"Feb",764600,692500,72000,9.4
"27","Alameda",2009,"Mar",763700,687400,76300,10
"28","Alameda",2009,"Apr",761200,686900,74400,9.8
"29","Alameda",2009,"May",756600,679000,77600,10.3
"30","Alameda",2009,"Jun",762800,678500,84300,11.1
"31","Alameda",2009,"Jul",769200,682300,87000,11.3
"32","Alameda",2009,"Aug",761400,674900,86500,11.4
"33","Alameda",2009,"Sep",758900,674700,84200,11.1
"34","Alameda",2009,"Oct",759900,675300,84600,11.1
"35","Alameda",2009,"Nov",760100,677400,82600,10.9
"36","Alameda",2009,"Dec",756500,675800,80700,10.7
"37","Alameda",2010,"Jan",780100,692800,87300,11.2
"38","Alameda",2010,"Feb",780800,694700,86000,11
"39","Alameda",2010,"Mar",785000,697500,87500,11.1
"40","Alameda",2010,"Apr",784900,699800,85100,10.8
"41","Alameda",2010,"May",780600,698100,82500,10.6
"42","Alameda",2010,"Jun",781300,695600,85700,11
"43","Alameda",2010,"Jul",784900,695900,89000,11.3
"44","Alameda",2010,"Aug",782500,694700,87800,11.2
"45","Alameda",2010,"Sep",785500,701100,84400,10.8
"46","Alameda",2010,"Oct",780900,697400,83500,10.7
"47","Alameda",2010,"Nov",782900,697700,85200,10.9
"48","Alameda",2010,"Dec",781100,700100,81000,10.4
"49","Alameda",2011,"Jan",779000,694600,84400,10.8
"50","Alameda",2011,"Feb",778300,696300,81900,10.5
"51","Alameda",2011,"Mar",781800,700300,81500,10.4
"52","Alameda",2011,"Apr",781200,703400,77800,10
"53","Alameda",2011,"May",781300,704500,76800,9.8
"54","Alameda",2011,"Jun",785300,703100,82200,10.5
"55","Alameda",2011,"Jul",790900,707800,83100,10.5
"56","Alameda",2011,"Aug",792100,710500,81600,10.3
"57","Alameda",2011,"Sep",791700,712900,78700,9.9
"58","Alameda",2011,"Oct",793800,716300,77500,9.8
"59","Alameda",2011,"Nov",792500,717900,74600,9.4
"60","Alameda",2011,"Dec",793300,721000,72300,9.1
"61","Alameda",2012,"Jan",791500,717200,74300,9.4
"62","Alameda",2012,"Feb",794600,720700,73900,9.3
"63","Alameda",2012,"Mar",796600,723300,73200,9.2
"64","Alameda",2012,"Apr",792800,724900,68000,8.6
"65","Alameda",2012,"May",794800,726400,68300,8.6
"66","Alameda",2012,"Jun",798500,726100,72400,9.1
"67","Alameda",2012,"Jul",804200,730000,74200,9.2
"68","Alameda",2012,"Aug",802100,730600,71600,8.9
"69","Alameda",2012,"Sep",802100,736700,65400,8.2
"70","Alameda",2012,"Oct",806400,740400,66100,8.2
"71","Alameda",2012,"Nov",805000,741200,63800,7.9
"72","Alameda",2012,"Dec",807100,744300,62900,7.8
"73","Alameda",2013,"Jan",805800,739000,66800,8.3
"74","Alameda",2013,"Feb",804600,741800,62800,7.8
"75","Alameda",2013,"Mar",803800,743200,60500,7.5
"76","Alameda",2013,"Apr",801600,745700,55900,7
"77","Alameda",2013,"May",803200,747200,56000,7
"78","Alameda",2013,"Jun",804600,744000,60600,7.5
"79","Alameda",2013,"Jul",811300,749500,61800,7.6
"80","Alameda",2013,"Aug",807300,748200,59100,7.3
"81","Alameda",2013,"Sep",805900,750300,55600,6.9
"82","Alameda",2013,"Oct",803400,747300,56100,7
"83","Alameda",2013,"Nov",804300,751100,53200,6.6
"84","Alameda",2013,"Dec",801400,751900,49400,6.2
"85","Alameda",2014,"Jan",803600,751300,52300,6.5
"86","Alameda",2014,"Feb",807400,755200,52200,6.5
